Path,Count
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",14
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",13
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",12
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",12
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",12
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",12
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",12
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",12
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",12
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",12
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",10
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",10
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",10
"if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 = true then: --> predicted Prediction: 1",9
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",9
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",9
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",9
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",9
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 = true then: --> predicted Prediction: 0",8
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",8
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",8
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 = true then: --> predicted Prediction: 0",8
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and X2.Methoxyestrone<=0.5013543665409088 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and X2.Methoxyestrone<=0.5013543665409088 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and X2.Methoxyestrone<=0.5013543665409088 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",8
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",8
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",8
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",8
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true and ENSMPUG00000004751_ANKRD24<=-1.0072854161262512 != true then: --> predicted Prediction: 1",8
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 = true then: --> predicted Prediction: 0",7
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",7
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",6
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",6
"else if Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",6
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",6
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",6
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",6
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 = true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",6
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 != true and ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",6
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 != true and ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",6
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 = true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 != true and X2.Methoxyestrone<=0.5013543665409088 != true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000003456_CLDN1<=0.6340613961219788 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 0",6
"else if ENSMPUG00000015708_WDR64<=-1.3136845827102661 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",6
"else if ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 = true and ENSMPUG00000005128_EMILIN2<=1.8143475651741028 != true and ENSMPUG00000014987_Unknown<=0.08383621647953987 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",6
"if ENSMPUG00000012286_NLRP3<=1.8359976410865784 = true and Ketoleucine<=1.159637212753296 = true then: --> predicted Prediction: 1",5
"else if ENSMPUG00000012286_NLRP3<=1.8359976410865784 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",5
"if ENSMPUG00000012286_NLRP3<=1.8486459255218506 = true and Ketoleucine<=1.159637212753296 = true then: --> predicted Prediction: 1",5
"else if ENSMPUG00000012286_NLRP3<=1.8486459255218506 != true and ENSMPUG00000026188_Unknown<=-1.6784894466400146 = true and Ketoleucine<=1.159637212753296 = true and ENSMPUG00000007479_PRDM16<=0.6958464980125427 != true and ENSMPUG00000010904_AZGP1<=-1.4121604561805725 != true then: --> predicted Prediction: 1",5
